,code,name
1,ARI,Arizona Diamondbacks
2,ATL,Atlanta Braves
3,BAL,Baltimore Orioles
4,BOS,Boston Red Sox
5,CHC,Chicago Cubs
6,CHW,Chicago White Sox
7,CIN,Cincinnati Reds
8,CLE,Cleveland Indians
9,COL,Colorado Rockies
10,DET,Detroit Tigers
11,HOU,Houston Astros
12,KCR,Kansas City Royals
13,ANA,Los Angeles Angels of Anaheim
14,LAD,Los Angeles Dodgers
15,FLA,Miami Marlins
16,MIL,Milwaukee Brewers
17,MIN,Minnesota Twins
18,NYM,New York Mets
19,NYY,New York Yankees
20,OAK,Oakland Athletics
21,PHI,Philadelphia Phillies
22,PIT,Pittsburgh Pirates
23,SDP,San Diego Padres
24,SFG,San Francisco Giants
25,SEA,Seattle Mariners
26,STL,St. Louis Cardinals
27,TBD,Tampa Bay Rays
28,TEX,Texas Rangers
29,TOR,Toronto Blue Jays
30,WSN,Washington Nationals
